country,year,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
ASEAN (Ember),2000,,,,,,,,,5.6,1.519,,500.231,,,,,,71.03,,,,,19.268,,368.65,368.65,,,,,,,,,295.75,,,80.225,,,,,,163.22,,,,,,44.275,,184.41,,,,,50.37,,13.663,,,,,,72.9,,19.775,,,,,,,,0.0,,0.0,,,,,,61.5,,,,,,16.682,,,22.53,16.93,,,,,,6.111,4.592,,,,,,,,72.9,,19.775,,,,,,0.0,,0.0,,,,,,0.0,,0.0,
ASEAN (Ember),2001,,,,,,,,,6.02,1.516,,499.358,,,,,,80.02,,,,,20.147,,397.19,397.19,,,,,,,,,320.51,,,80.694,,,,,,185.35,,,,,,46.665,,198.34,,,,,54.26,,13.661,,,,,,76.68,,19.306,,,,,,,,0.0,,0.0,,,,,,55.14,,,,,,13.883,,,22.42,16.4,,,,,,5.645,4.129,,,,,,,,76.68,,19.306,,,,,,0.0,,0.0,,,,,,0.0,,0.0,
ASEAN (Ember),2002,,,,,,,,,6.06,1.433,,505.652,,,,,,87.16,,,,,20.614,,422.82,422.82,,,,,,,,,346.83,,,82.028,,,,,,203.52,,,,,,48.134,,213.8,,,,,53.32,,12.611,,,,,,75.99,,17.972,,,,,,,,0.0,,0.0,,,,,,56.15,,,,,,13.28,,,22.67,16.61,,,,,,5.362,3.928,,,,,,,,75.99,,17.972,,,,,,0.0,,0.0,,,,,,0.0,,0.0,
ASEAN (Ember),2003,,,,,,,,,6.69,1.496,,513.698,,,,,,98.51,,,,,22.031,,447.15,447.15,,,,,,,,,371.44,,,83.068,,,,,,216.92,,,,,,48.512,,229.7,,,,,53.28,,11.915,,,,,,75.71,,16.932,,,,,,,,0.0,,0.0,,,,,,56.01,,,,,,12.526,,,22.43,15.74,,,,,,5.016,3.52,,,,,,,,75.71,,16.932,,,,,,0.0,,0.0,,,,,,0.0,,0.0,
ASEAN (Ember),2004,,,,,,,,,7.57,1.561,,520.91,,,,,,111.62,,,,,23.017,,484.94,484.94,,,,,,,,,407.92,,,84.118,,,,,,237.97,,,,,,49.072,,252.61,,,,,52.88,,10.904,,,,,,77.02,,15.882,,,,,,,,0.0,,0.0,,,,,,58.33,,,,,,12.028,,,24.14,16.57,,,,,,4.978,3.417,,,,,,,,77.02,,15.882,,,,,,0.0,,0.0,,,,,,0.0,,0.0,
ASEAN (Ember),2005,,,,,,,,,7.94,1.555,,525.789,,,,,,122.39,,,,,23.966,,510.68,510.68,,,,,,,,,432.46,,,84.683,,,,,,250.68,,,,,,49.087,,268.51,,,,,53.76,,10.527,,,,,,78.22,,15.317,,,,,,,,0.0,,0.0,,,,,,59.39,,,,,,11.63,,,24.44,16.5,,,,,,4.786,3.231,,,,,,,,78.22,,15.317,,,,,,0.0,,0.0,,,,,,0.02,,0.004,
ASEAN (Ember),2006,,,,,,,,,7.76,1.451,,525.277,,,,,,135.26,,,,,25.298,,534.67,534.67,,,,,,,,,449.35,,,84.042,,,,,,256.2,,,,,,47.917,,280.85,,,,,60.38,,11.293,,,,,,85.32,,15.958,,,,,,,,0.0,,0.0,,,,,,57.89,,,,,,10.827,,,24.89,17.13,,,,,,4.655,3.204,,,,,,,,85.32,,15.958,,,,,,0.0,,0.0,,,,,,0.05,,0.009,
ASEAN (Ember),2007,,,,,,,,,9.44,1.674,,529.352,,,,,,152.04,,,,,26.957,,564.01,564.01,,,,,,,,,474.14,,,84.066,,,,,,266.35,,,,,,47.224,,298.56,,,,,63.13,,11.193,,,,,,89.87,,15.934,,,,,,,,0.0,,0.0,,,,,,55.75,,,,,,9.885,,,26.68,17.24,,,,,,4.73,3.057,,,,,,,,89.87,,15.934,,,,,,0.0,,0.0,,,,,,0.06,,0.011,
ASEAN (Ember),2008,,,,,,,,,9.72,1.647,,518.096,,,,,,149.68,,,,,25.362,,590.18,590.18,,,,,,,,,491.57,,,83.292,,,,,,290.13,,,,,,49.16,,305.77,,,,,69.8,,11.827,,,,,,98.61,,16.708,,,,,,,,0.0,,0.0,,,,,,51.76,,,,,,8.77,,,28.75,19.03,,,,,,4.871,3.224,,,,,,,,98.61,,16.708,,,,,,0.0,,0.0,,,,,,0.06,,0.01,
ASEAN (Ember),2009,,,,,,,,,10.11,1.654,,519.021,,,,,,160.27,,,,,26.223,,611.17,611.17,,,,,,,,,507.84,,,83.093,,,,,,296.9,,,,,,48.579,,317.21,,,,,73.52,,12.029,,,,,,103.33,,16.907,,,,,,,,0.0,,0.0,,,,,,50.67,,,,,,8.291,,,29.73,19.62,,,,,,4.864,3.21,,,,,,,,103.33,,16.907,,,,,,0.01,,0.002,,,,,,0.07,,0.011,
ASEAN (Ember),2010,,,,,,,,,13.05,1.941,,523.399,,,,,,182.44,,,,,27.138,,672.26,672.26,,,,,,,,,560.94,,,83.441,,,,,,325.32,,,,,,48.392,,351.86,,,,,78.85,,11.729,,,,,,111.32,,16.559,,,,,,,,0.0,,0.0,,,,,,53.18,,,,,,7.911,,,32.34,19.29,,,,,,4.811,2.869,,,,,,,,111.32,,16.559,,,,,,0.03,,0.004,,,,,,0.1,,0.015,
ASEAN (Ember),2011,,,,,,,,,14.84,2.098,,521.27,,,,,,205.73,,,,,29.085,,707.33,707.33,,,,,,,,,573.5,,,81.08,,,,,,304.6,,,,,,43.063,,368.71,,,,,99.42,,14.056,,,,,,133.83,,18.92,,,,,,,,0.0,,0.0,,,,,,63.17,,,,,,8.931,,,34.17,19.33,,,,,,4.831,2.733,,,,,,,,133.83,,18.92,,,,,,0.11,,0.016,,,,,,0.13,,0.018,
ASEAN (Ember),2012,,,,,,,,,15.95,2.095,,519.454,,,,,,234.36,,,,,30.784,,761.3,761.3,,,,,,,,,609.79,,,80.099,,,,,,317.78,,,,,,41.742,,395.46,,,,,115.07,,15.115,,,,,,151.51,,19.901,,,,,,,,0.0,,0.0,,,,,,57.65,,,,,,7.573,,,35.64,19.69,,,,,,4.681,2.586,,,,,,,,151.51,,19.901,,,,,,0.54,,0.071,,,,,,0.26,,0.034,
ASEAN (Ember),2013,,,,,,,,,16.88,2.096,,513.732,,,,,,248.09,,,,,30.802,,805.44,805.44,,,,,,,,,640.66,,,79.542,,,,,,343.64,,,,,,42.665,,413.78,,,,,126.96,,15.763,,,,,,164.78,,20.458,,,,,,,,0.0,,0.0,,,,,,48.93,,,,,,6.075,,,35.91,19.03,,,,,,4.458,2.363,,,,,,,,164.78,,20.458,,,,,,1.46,,0.181,,,,,,0.45,,0.056,
