country,year,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
Central and South America (Shift),1900,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central and South America (Shift),1901,,,,,,,,,,,,,,,,,,,72.778,2.183,,5.183,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.632,0.012,,0.454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central and South America (Shift),1902,,,,,,,,,,,,,,,,,,,16.164,0.838,,6.02,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.949,-0.081,,0.372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central and South America (Shift),1903,,,,,,,,,,,,,,,,,,,15.27,0.919,,6.94,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.625,0.058,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central and South America (Shift),1904,,,,,,,,,,,,,,,,,,,-5.86,-0.407,,6.533,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.405,0.023,,0.454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central and South America (Shift),1905,,,,,,,,,,,,,,,,,,,6.905,0.451,,6.984,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.205,0.128,,0.581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central and South America (Shift),1906,,,,,,,,,,,,,,,,,,,16.559,1.156,,8.14,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,0.244,,0.826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central and South America (Shift),1907,,,,,,,,,,,,,,,,,,,0.74,0.06,,8.201,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.845,0.337,,1.163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central and South America (Shift),1908,,,,,,,,,,,,,,,,,,,22.982,1.885,,10.085,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,0.326,,1.489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central and South America (Shift),1909,,,,,,,,,,,,,,,,,,,0.896,0.09,,10.176,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.469,0.826,,2.314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
